SK_ID_CURR,TARGET_x,CNT_CHILDREN_x,AMT_INCOME_TOTAL_x,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,DAYS_BIRTH_x,DAYS_EMPLOYED_x,NAME_CONTRACT_TYPE_x,AGE_YEARS,DAYS_EMPLOYED_CLIP,YEARS_EMPLOYED,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,GOODS_CREDIT_DIFF,UNREALISTIC_AGE,NEGATIVE_INCOME,iso_anomaly,iso_score,kmeans_label,kmeans_anomaly,anomaly_score,Alert,TARGET_y,NAME_CONTRACT_TYPE_y,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN_y,AMT_INCOME_TOTAL_y,AMT_CREDIT_y,AMT_ANNUITY_y,AMT_GOODS_PRICE_y,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH_y,DAYS_EMPLOYED_y,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
101004,0,1,112500.0,1215000.0,84694.5,1215000.0,-15044,-197,Cash loans,41,-197.0,-0.5397260273972603,10.8,0.75284,0.0,0,0,1,-0.02147470165638954,1,0,1,Suspicious,0,Cash loans,F,Y,Y,1,112500.0,1215000.0,84694.5,1215000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.005144,-15044,-197,-4570,-4835,65.0,1,1,0,1,0,0,Laborers,3,2,2,THURSDAY,11,0,0,0,0,0,0,Postal,,0.301154362918931,0.0520364070962328,0.1237,0.0801,0.993,0.9048,0.0491,0.12,0.1034,0.375,0.4167,0.0487,0.1009,0.1267,0.0,0.0,0.1261,0.0831,0.993,0.9085,0.0495,0.1208,0.1034,0.375,0.4167,0.0498,0.1102,0.132,0.0,0.0,0.1249,0.0801,0.993,0.9061,0.0494,0.12,0.1034,0.375,0.4167,0.0495,0.1026,0.129,0.0,0.0,reg oper account,block of flats,0.1265,Panel,No,1.0,1.0,1.0,1.0,-672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
101163,0,0,135000.0,1661418.0,66019.5,1485000.0,-16745,-657,Cash loans,45,-657.0,-1.8,12.3068,0.4890333333333333,-176418.0,0,0,1,-0.009125223564185325,1,0,1,Suspicious,0,Cash loans,M,N,Y,0,135000.0,1661418.0,66019.5,1485000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0228,-16745,-657,-4629,-289,,1,1,0,1,0,0,Sales staff,2,2,2,THURSDAY,9,0,0,0,0,1,1,Housing,0.716360707821197,0.624950770312188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-379,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101227,0,0,67500.0,1180341.0,39006.0,1057500.0,-23236,-5405,Cash loans,63,-5405.0,-14.808219178082192,17.486533333333334,0.5778666666666666,-122841.0,0,0,1,-0.008011490148579048,1,0,1,Suspicious,0,Cash loans,F,Y,Y,0,67500.0,1180341.0,39006.0,1057500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-23236,-5405,-558,-4134,6.0,1,1,0,1,0,0,Cleaning staff,2,2,2,SUNDAY,12,0,0,0,0,0,0,Business Entity Type 1,,0.673520775022233,0.835776515797579,0.1485,0.091,0.9806,0.7348,0.0274,0.16,0.1379,0.3333,0.375,,0.1202,0.1427,0.0039,0.0041,0.1513,0.0945,0.9806,0.7452,0.0276,0.1611,0.1379,0.3333,0.375,,0.1313,0.1486,0.0039,0.0043,0.1499,0.091,0.9806,0.7383,0.0276,0.16,0.1379,0.3333,0.375,,0.1223,0.1452,0.0039,0.0042,reg oper account,block of flats,0.1281,Panel,No,1.0,0.0,1.0,0.0,-1106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,3.0
101298,0,0,112500.0,1546020.0,42642.0,1350000.0,-16071,-9257,Cash loans,44,-9257.0,-25.361643835616437,13.7424,0.37904,-196020.0,0,0,1,-0.0164386467652059,1,0,1,Suspicious,0,Cash loans,F,Y,N,0,112500.0,1546020.0,42642.0,1350000.0,Family,State servant,Secondary / secondary special,Married,Municipal apartment,0.00712,-16071,-9257,-8381,-4164,16.0,1,1,1,1,1,0,Medicine staff,2,2,2,SATURDAY,9,0,0,0,0,0,0,Other,,0.499777740829592,0.508286991391604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-3067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
101468,0,1,247891.5,2254500.0,65988.0,2254500.0,-11361,-1252,Cash loans,31,-1252.0,-3.43013698630137,9.094704739775265,0.2661971063953383,0.0,0,0,1,-0.02874937378083764,1,0,1,Suspicious,0,Cash loans,M,Y,N,1,247891.5,2254500.0,65988.0,2254500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.031329,-11361,-1252,-5403,-3572,11.0,1,1,1,1,0,0,Sales staff,3,2,2,TUESDAY,8,0,0,0,0,0,0,Trade: type 7,0.236611456258102,0.540325400063013,,0.0629,0.0301,0.9742,0.6464,0.0163,0.0,0.1379,0.1667,0.2083,0.0511,0.0471,0.056,0.0232,0.031,0.0641,0.0312,0.9742,0.6602,0.0165,0.0,0.1379,0.1667,0.2083,0.0522,0.0514,0.0583,0.0233,0.0328,0.0635,0.0301,0.9742,0.6511,0.0164,0.0,0.1379,0.1667,0.2083,0.052,0.0479,0.057,0.0233,0.0316,reg oper account,block of flats,0.0597,"Stone, brick",No,0.0,0.0,0.0,0.0,-2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
101701,0,1,360000.0,2250000.0,116505.0,2250000.0,-13374,-1563,Cash loans,36,-1563.0,-4.282191780821917,6.25,0.323625,0.0,0,0,1,-0.06746344351335598,1,0,1,Suspicious,0,Cash loans,F,Y,N,1,360000.0,2250000.0,116505.0,2250000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.006305,-13374,-1563,-4890,-2890,13.0,1,1,1,1,1,0,Sales staff,3,3,3,WEDNESDAY,12,0,0,0,0,0,0,Self-employed,,0.632332439660108,0.675413291091711,0.1031,0.1223,0.9821,0.7552,0.0666,0.0,0.1724,0.1667,0.2083,0.0921,0.0841,0.0697,0.0,0.0,0.105,0.1269,0.9821,0.7648,0.0673,0.0,0.1724,0.1667,0.2083,0.0942,0.0918,0.0726,0.0,0.0,0.1041,0.1223,0.9821,0.7585,0.0671,0.0,0.1724,0.1667,0.2083,0.0937,0.0855,0.071,0.0,0.0,reg oper account,block of flats,0.0913,Panel,No,0.0,0.0,0.0,0.0,-2169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101798,0,0,337500.0,1635795.0,107356.5,1579500.0,-16670,-2797,Cash loans,45,-2797.0,-7.663013698630137,4.8468,0.31809333333333334,-56295.0,0,0,1,-0.008319037931100559,1,0,1,Suspicious,0,Cash loans,F,Y,Y,0,337500.0,1635795.0,107356.5,1579500.0,Family,Working,Higher education,Married,House / apartment,0.008575,-16670,-2797,-845,-220,2.0,1,1,1,1,1,0,Core staff,2,2,2,MONDAY,10,0,0,0,0,1,1,Trade: type 2,,0.627264612438109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10.0,0.0,-1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101841,0,0,315000.0,1774039.5,73341.0,1656000.0,-18442,-8236,Cash loans,50,-8236.0,-22.564383561643837,5.631871428571428,0.23282857142857144,-118039.5,0,0,1,-0.006177328394071924,1,0,1,Suspicious,0,Cash loans,F,Y,Y,0,315000.0,1774039.5,73341.0,1656000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.007114,-18442,-8236,-4428,-1997,7.0,1,1,0,1,0,0,Core staff,2,2,2,SATURDAY,14,0,0,0,0,0,0,School,0.461756169789756,0.255412325911518,,0.0856,0.1005,0.9811,,,0.0,0.2069,0.1667,,,,0.0816,,0.015,0.0872,0.1042,0.9811,,,0.0,0.2069,0.1667,,,,0.085,,0.0159,0.0864,0.1005,0.9811,,,0.0,0.2069,0.1667,,,,0.0831,,0.0153,,block of flats,0.0674,Panel,No,0.0,0.0,0.0,0.0,-1652,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101915,0,0,315000.0,1755000.0,96174.0,1755000.0,-23061,365243,Cash loans,63,,-4.413698630136986,5.571428571428571,0.3053142857142857,0.0,0,0,1,-0.014933562726015426,1,0,1,Suspicious,0,Cash loans,F,Y,Y,0,315000.0,1755000.0,96174.0,1755000.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-23061,365243,-3990,-4265,6.0,1,0,0,1,1,0,,2,2,2,THURSDAY,20,0,0,0,0,0,0,XNA,0.733703889762022,0.55623057387784,0.664248262705236,0.2052,0.2185,0.9771,,,0.0,0.4138,0.1667,,0.1088,,0.1807,,0.0,0.209,0.2268,0.9772,,,0.0,0.4138,0.1667,,0.1113,,0.1882,,0.0,0.2071,0.2185,0.9771,,,0.0,0.4138,0.1667,,0.1107,,0.1839,,0.0,,block of flats,0.1421,Panel,No,0.0,0.0,0.0,0.0,-2808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
102310,0,1,270000.0,2517300.0,102658.5,2250000.0,-17567,-8268,Cash loans,48,-8268.0,-22.65205479452055,9.323333333333334,0.38021666666666665,-267300.0,0,0,1,-0.09035425989375956,1,0,1,Suspicious,0,Cash loans,F,N,Y,1,270000.0,2517300.0,102658.5,2250000.0,"Spouse, partner",State servant,Higher education,Married,House / apartment,0.072508,-17567,-8268,-5225,-1093,,1,1,0,1,0,0,Core staff,3,1,1,SATURDAY,18,0,0,0,0,0,0,University,0.783469565637698,0.778418716057305,0.70018385068358,0.1231,0.0945,0.9925,0.898,0.1337,0.224,0.1103,0.4917,0.4167,0.2303,0.1156,0.136,0.0,0.046,0.1744,0.062,0.9926,0.902,0.114,0.1611,0.1034,0.4583,0.3333,0.0,0.1001,0.0707,0.0,0.0014,0.1135,0.0957,0.993,0.8994,0.1346,0.24,0.1034,0.4583,0.4167,0.1741,0.1176,0.1285,0.0,0.0491,reg oper account,block of flats,0.1784,Panel,No,0.0,0.0,0.0,0.0,-597,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
